243.36,224.19,193.13,604.63,423.35,144.47,410.44
243.85,220.22,190.63,599.24,418.58,138.31,379.28
250.42,219.39,190.44,585.51,421.50,134.29,403.84
252.20,221.30,192.69,591.24,424.83,137.49,417.41
255.59,223.75,194.04,599.81,430.53,137.01,431.66
259.02,227.05,197.10,603.35,438.11,139.93,454.13
258.20,229.05,197.57,607.75,439.33,140.22,462.28
255.27,225.06,195.99,599.85,435.25,139.67,430.60
254.49,224.92,192.96,585.25,436.60,134.70,421.06
249.79,223.29,189.70,595.57,437.03,130.68,436.17
248.05,220.52,190.15,597.19,437.39,128.91,440.13
253.48,231.15,197.12,619.44,454.46,130.39,479.86
251.04,232.93,198.16,624.24,451.59,132.00,463.02
248.13,227.46,191.38,620.35,447.27,134.25,436.23
247.96,228.97,193.63,630.79,449.56,137.34,418.10
246.49,230.26,196.71,632.68,448.99,139.31,424.77
247.77,225.04,186.53,619.32,443.33,135.07,400.99
246.75,226.09,177.10,613.57,446.02,138.81,389.79
242.84,227.03,176.49,623.77,443.57,142.44,389.22
243.04,220.55,174.31,608.93,442.62,145.06,369.49
243.01,218.16,176.09,613.78,437.42,145.14,357.93
242.65,213.44,173.02,613.65,431.20,140.26,351.42
239.59,210.71,172.98,592.83,430.98,138.63,357.09
237.33,207.89,170.49,574.32,423.46,138.25,345.16
234.93,205.74,170.82,569.20,422.99,135.34,332.89
235.06,207.86,170.62,573.54,427.99,136.92,338.23
232.87,201.45,169.43,565.11,418.79,136.02,338.59
229.87,197.12,166.57,559.14,417.00,141.95,352.56
228.52,198.38,169.24,563.09,412.87,146.67,339.64
229.00,202.88,177.33,565.52,415.49,145.89,342.03
228.28,204.61,179.58,561.09,417.79,147.01,346.00
228.02,201.70,176.80,554.40,415.76,140.15,338.74
225.00,202.61,173.89,554.08,415.00,141.98,320.72
228.22,211.48,177.35,577.16,426.89,146.76,311.18
225.12,214.10,180.49,580.00,425.20,146.27,330.24
224.23,208.91,183.32,584.82,423.03,148.29,328.49
224.23,206.84,181.97,583.17,418.01,145.26,350.00
226.96,208.18,179.86,589.34,422.54,147.63,321.22
227.48,210.05,182.28,591.70,425.43,148.88,296.91
222.72,207.09,178.33,572.05,420.18,145.61,288.53
223.45,199.50,171.41,572.43,411.46,139.91,251.44
222.01,195.78,170.68,560.68,408.46,136.05,242.84
222.91,197.93,172.65,567.16,410.37,135.40,248.98
225.91,186.40,172.69,567.58,406.35,132.76,249.85
230.10,192.73,176.14,591.80,432.53,139.34,257.55
233.67,190.83,171.14,593.28,431.95,141.25,259.52
233.40,188.39,168.34,578.16,426.59,140.52,262.51
231.41,187.83,166.99,573.25,428.15,141.54,269.19
230.57,186.38,164.53,567.78,424.73,140.41,260.48
230.76,184.71,164.48,563.69,424.60,139.56,213.65
235.86,189.70,166.82,582.01,427.51,143.59,217.97
236.48,189.07,165.80,575.16,418.78,143.71,218.85
235.00,188.99,165.05,576.47,418.16,138.00,220.70
232.15,187.53,164.51,576.93,416.72,136.93,220.89
231.78,186.89,166.74,576.79,416.12,135.72,221.33
233.85,187.69,166.90,586.27,418.74,131.60,219.57
231.30,187.54,166.35,590.42,419.14,138.07,219.16
227.55,188.82,164.52,589.95,416.32,134.80,217.80
229.04,186.65,163.18,583.83,415.84,134.81,238.77
229.54,185.17,163.06,590.51,417.46,132.65,241.05
225.77,182.72,165.70,592.89,414.71,132.89,244.50
221.69,180.80,164.39,584.78,409.54,127.72,240.83
226.80,186.51,168.56,595.94,416.06,124.92,250.08
225.67,181.96,167.21,582.77,416.54,122.85,240.66
226.78,184.76,167.31,572.81,417.13,118.85,249.02
226.21,185.13,168.42,576.47,420.69,117.00,258.02
233.00,186.33,167.19,572.44,430.30,121.44,261.63
227.79,187.97,165.29,567.36,428.02,121.40,260.46
227.52,191.16,163.83,567.84,431.31,124.04,254.22
226.37,192.53,162.99,568.31,432.11,123.51,257.02
227.37,193.96,163.64,563.33,429.17,120.87,254.27
226.47,193.88,163.07,564.41,433.51,116.26,250.00
228.20,191.60,164.64,561.35,435.27,116.00,238.25
228.87,189.87,163.24,559.10,438.69,117.87,243.92
220.69,186.43,160.81,537.95,430.81,113.37,227.20
216.79,186.88,160.28,536.32,435.15,115.59,227.87
216.32,184.89,158.99,533.28,431.34,116.78,226.78
222.50,186.49,158.37,524.62,430.59,119.10,230.29
222.77,187.00,155.54,525.60,427.00,119.14,229.81
222.66,184.52,152.15,511.83,423.04,116.91,228.13
220.11,179.55,150.01,504.79,414.20,108.10,226.17
220.91,175.40,149.54,504.79,405.72,106.47,216.27
220.82,171.39,152.13,500.27,401.70,102.83,210.73
222.38,177.89,158.60,516.86,408.39,107.21,230.17
220.85,173.33,157.81,512.74,408.90,106.21,219.41
222.77,176.25,158.61,511.76,409.44,108.00,210.60
229.00,178.50,165.11,521.31,417.14,119.37,214.11
229.79,172.12,163.40,518.22,413.12,117.59,206.28
226.49,170.80,164.50,516.78,410.60,125.61,205.75
228.03,173.12,166.38,519.10,413.84,128.30,209.21
227.18,175.50,167.93,521.12,413.49,126.46,213.21
226.84,177.04,167.43,528.00,416.79,129.37,220.32
224.53,176.13,165.49,531.93,415.55,123.74,210.66
226.40,180.11,167.63,535.16,424.14,128.50,223.27
226.51,178.88,168.96,526.73,424.80,127.25,221.10
225.89,178.22,168.40,529.28,421.53,130.00,222.72
226.05,177.06,164.74,527.42,418.47,124.58,216.12
224.72,177.59,163.17,537.33,421.03,122.86,214.14
221.72,170.10,162.03,526.76,416.86,118.08,201.38
221.27,170.23,165.93,528.54,414.01,116.14,207.83
217.53,166.80,163.95,515.95,406.81,109.02,197.49
216.24,166.94,165.39,517.77,406.02,104.75,200.00
213.31,165.80,163.84,509.63,402.69,104.97,198.84
209.82,162.77,160.75,488.92,398.43,98.91,191.76
207.23,161.93,160.54,494.09,399.61,104.25,200.64
209.27,161.02,160.64,475.73,395.15,100.45,198.88
219.86,167.90,168.40,488.14,408.49,107.27,207.67
218.36,184.07,172.45,497.74,417.11,109.21,216.86
222.08,186.98,173.15,474.83,418.35,117.02,232.07
218.80,181.71,171.86,463.19,422.92,103.73,222.62
218.24,183.20,171.13,465.71,426.73,111.59,232.10
217.96,182.50,168.68,465.70,425.27,113.06,219.80
217.49,179.85,169.16,453.41,418.40,112.28,220.25
218.54,180.83,174.37,461.27,428.90,114.25,215.99
225.01,186.41,183.60,488.69,444.85,122.59,246.38
223.96,182.55,183.35,487.40,442.94,123.54,251.51
224.31,183.13,179.39,476.79,437.11,117.93,239.20
224.18,183.75,179.22,475.85,440.37,121.09,249.23
228.88,187.93,182.62,461.99,443.52,117.99,248.50
234.82,193.02,185.50,489.79,449.52,126.36,256.56
234.40,192.72,188.19,496.16,453.96,128.44,252.64
230.54,194.49,186.78,498.87,453.55,129.24,248.23
227.57,195.05,187.30,512.70,454.70,127.40,241.03
232.98,199.79,192.66,534.69,466.25,134.91,263.26
228.68,199.34,190.44,530.00,459.54,131.38,262.33
227.82,199.29,190.48,529.32,466.24,128.20,252.94
